Product Category,Column Name Raw,Column Name,Column Top Values,Column Unit,Column Min,Column Max,Column Definition,Approved
Notebooks,Display resolution.1585,Display resolution,"'2256 x 1504', '1536 x 1024', '1366 x 768', '2496 x 1664', '1920 x 1080'",pixels,,,"The display resolution is the number of pixels on a notebook's screen. The display resolution is given as the width and height of the screen, separated by an ""x"". For example, a display resolution of 1920 x 1080 means the screen is 1920 pixels wide and 1080 pixels tall.",True
Notebooks,Display resolution.1585.unit,Display resolution_unit,,,,,The unit of measure for the Display resolution column.,True
Notebooks,Width.1649,Width,"'278.18', '308.0', '380.0', '339.5', '305.0'",mm,224.8,418.0,"The width of the notebook. This is measured in millimeters and can be any positive number. The minimum width is 258 mm, and the maximum width is 4007 mm.",True
Notebooks,Width.1649.unit,Width_unit,,,,,The unit of measure for the Width column.,True
Notebooks,Depth.1650,Depth,"'223.0', '205.67', '262.0', '224.0', '292.6'",mm,16.7,323.9,"Depth of the notebook, measured in millimeters. This measurement is taken from the base of the notebook to the furthest point of the notebook. Notebooks with a depth of 11.176 mm or less are considered to be ultra-portable, whereas notebooks with a height over 21.344 mm are considered to be desktop replacement laptops.",True
Notebooks,Depth.1650.unit,Depth_unit,,,,,The unit of measure for the Depth column.,True
Notebooks,Speaker power.1660,Speaker power,"'1.5', '2.0', '4.0', '5.0', '1.2'",W,1.2,10.0,"The power rating of the notebook's speaker in Watts. The minimum value is 0.5 W, and the maximum value is 22.0 W.",True
Notebooks,Speaker power.1660.unit,Speaker power_unit,,,,,The unit of measure for the Speaker power column.,True
Notebooks,Intel Stable Image Platform Program (SIPP).16685,Intel Stable Image Platform Program (SIPP),'False',,,,Intel Stable Image Platform Program (SIPP) is a program that helps to reduce the cost of ownership of a notebook. The program provides a stable image of the operating system and drivers that are preloaded on the notebook. This helps to reduce the time and effort required to install and configure the notebook. The Intel Stable Image Platform Program (SIPP) is available on select notebooks.,True
Notebooks,Intel Stable Image Platform Program (SIPP).16685.unit,Intel Stable Image Platform Program (SIPP)_unit,,,,,The unit of measure for the Intel Stable Image Platform Program (SIPP) column.,True
Notebooks,Product colour.1766,Product colour,"'Black', 'Platinum', 'Blue', 'Sand', 'Silver'",,,,"The colour of the product. This column contains text, and only contains valid colours.",True
Notebooks,Product colour.1766.unit,Product colour_unit,,,,,The unit of measure for the Product colour column.,True
Notebooks,Discrete graphics adapter memory.18403,Discrete graphics adapter memory,"'2.0', '4.0'",GB,2.0,4.0,"The discrete graphics adapter memory of a notebook, expressed in GB. Ranges from a minimum of 2.0 GB to a maximum of 4.0 GB.",True
Notebooks,Discrete graphics adapter memory.18403.unit,Discrete graphics adapter memory_unit,,,,,The unit of measure for the Discrete graphics adapter memory column.,True
Notebooks,Number of built-in speakers.1851,Number of built-in speakers,"'2.0', '1.0', '4.0'",,1.0,4.0,"The number of speakers that are built into the laptop. It can range from 1.0 up to 4.0, with 1.0 being the minimum and 4.0 being the maximum value.",True
Notebooks,Number of built-in speakers.1851.unit,Number of built-in speakers_unit,,,,,The unit of measure for the Number of built-in speakers column.,True
Notebooks,Intel Virtualization Technology for Directed I/O (VT-d).18653,Intel Virtualization Technology for Directed I/O (VT-d),'False',,,,A boolean value that describes whether the Intel Virtualization Technology for Directed I/O is present in the laptop. It is a technology that allows the CPU to provide I/O virtualization.,True
Notebooks,Intel Virtualization Technology for Directed I/O (VT-d).18653.unit,Intel Virtualization Technology for Directed I/O (VT-d)_unit,,,,,The unit of measure for the Intel Virtualization Technology for Directed I/O (VT-d) column.,True
Notebooks,Intel Software Guard Extensions (Intel SGX).21556,Intel Software Guard Extensions (Intel SGX),'False',,,,"A notebook has Intel Software Guard Extensions (Intel SGX) if it has a value of ""True"" in this column, and does not have Intel Software Guard Extensions (Intel SGX) if the value is ""False"". ",True
Notebooks,Intel Software Guard Extensions (Intel SGX).21556.unit,Intel Software Guard Extensions (Intel SGX)_unit,,,,,The unit of measure for the Intel Software Guard Extensions (Intel SGX) column.,True
Notebooks,Configurable TDP-down.21557,Configurable TDP-down,"'12.0', '13.0', '7.5', '10.0', '28.0'",W,7.5,28.0,The minimum and maximum configurable TDP-down for a particular laptop mode.,True
Notebooks,Configurable TDP-down.21557.unit,Configurable TDP-down_unit,,,,,The unit of measure for the Configurable TDP-down column.,True
Notebooks,Processor cache type.21716,Processor cache type,"'Smart Cache', 'L3', 'L2', 'L2 & L3'",,,,"The type of cache used by the processor. Examples include `Smart Cache`, `L3`, `L2`, and `L2 & L3`.",True
Notebooks,Processor cache type.21716.unit,Processor cache type_unit,,,,,The unit of measure for the Processor cache type column.,True
Notebooks,Configurable TDP-down frequency.21744,Configurable TDP-down frequency,"'0.7', '1.2', '0.8', '1.1', '0.9'",GHz,0.7,2.6,"The Configurable TDP-down frequency is the minimum frequency that the processor can run at when the TDP is limited. This allows the processor to save power and reduce heat generation. The frequency is measured in GHz. The minimum value is 0.4 GHz, and the maximum value is 800.0 GHz.",True
Notebooks,Configurable TDP-down frequency.21744.unit,Configurable TDP-down frequency_unit,,,,,The unit of measure for the Configurable TDP-down frequency column.,True
Notebooks,Configurable TDP-up frequency.21746,Configurable TDP-up frequency,"'1.2', '3.0', '2.6', '2.4', '2.7'",GHz,1.2,3.1,"The configurable TDP-up frequency of the notebook. This is the maximum frequency that the processor can be set to. The minimum value is 0.9 GHz, and the maximum value is 3.4 GHz.",True
Notebooks,Configurable TDP-up frequency.21746.unit,Configurable TDP-up frequency_unit,,,,,The unit of measure for the Configurable TDP-up frequency column.,True
Notebooks,Configurable TDP-up.21748,Configurable TDP-up,"'28.0', '25.0', '35.0'",W,25.0,35.0,"The Configurable TDP-up column contains the maximum TDP-up value that can be configured for a given notebook. TDP-up stands for Thermal Design Power up. The minimum value for this column is 6.0 W, and the maximum value is 65.0 W.",True
Notebooks,Configurable TDP-up.21748.unit,Configurable TDP-up_unit,,,,,The unit of measure for the Configurable TDP-up column.,True
Notebooks,Intel Virtualization Technology (VT-x).21759,Intel Virtualization Technology (VT-x),'False',,,,"Intel Virtualization Technology (VT-x) is a hardware-based technology that allows multiple operating systems to run on a single physical server or host. This column indicates whether or not the notebook has this technology. If the value is 'True', it means that the notebook has Intel Virtualization Technology (VT-x). If the value is 'False', it means that the notebook does not have Intel Virtualization Technology (VT-x).",True
Notebooks,Intel Virtualization Technology (VT-x).21759.unit,Intel Virtualization Technology (VT-x)_unit,,,,,The unit of measure for the Intel Virtualization Technology (VT-x) column.,True
Notebooks,Bluetooth.2183,Bluetooth,'False',,,,A boolean value indicating whether the notebook has Bluetooth capability. This can be 'True' or 'False'.,True
Notebooks,Bluetooth.2183.unit,Bluetooth_unit,,,,,The unit of measure for the Bluetooth column.,True
Notebooks,Processor family.2196,Processor family,"'Intel Core i5', 'Intel Core i7', 'Intel Core i3', 'AMD Ryzen 7', 'AMD Ryzen 5'",,,,"The processor family is the brand and model of the processor in the notebook. Examples of processor families are Intel Core i5, Intel Core i7, Intel Core i3, Intel Celeron, and Intel Pentium.",True
Notebooks,Processor family.2196.unit,Processor family_unit,,,,,The unit of measure for the Processor family column.,True
Notebooks,USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity.22701,USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity,"'1.0', '2.0'",,1.0,2.0,The number of USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports on the notebook. Min: 1. Max: 22. Format: Whole number.,True
Notebooks,USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity.22701.unit,USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity_unit,,,,,The unit of measure for the USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity column.,True
Notebooks,Mobile network connection.24557,Mobile network connection,'False',,,,"Denotes whether the notebook has a built-in mobile network connection. If the notebook has a mobile network connection, this value will be True. If the notebook does not have a mobile network connection, this value will be False.",True
Notebooks,Mobile network connection.24557.unit,Mobile network connection_unit,,,,,The unit of measure for the Mobile network connection column.,True
Notebooks,Top Wi-Fi standard.24993,Top Wi-Fi standard,"'Wi-Fi 6 (802.11ax)', 'Wi-Fi 5 (802.11ac)', 'Wi-Fi 6E (802.11ax)', 'Wi-Fi 4 (802.11n)'",,,,"The top wi-fi standard of the notebook. Examples include 'Wi-Fi 5 (802.11ac)', 'Wi-Fi 6 (802.11ax)', 'Wi-Fi 4 (802.11n)', 'Wi-Fi 6E (802.11ax)', and '802.11ad'.",True
Notebooks,Top Wi-Fi standard.24993.unit,Top Wi-Fi standard_unit,,,,,The unit of measure for the Top Wi-Fi standard column.,True
Notebooks,WLAN controller model.27443,WLAN controller model,'Intel Wi-Fi 6 AX201',,,,"The WLAN controller model refers to the model of the wireless local area network controller in the notebook. The WLAN controller is responsible for managing the wireless network connection of the notebook. Examples of WLAN controller models include Intel Dual Band Wireless-AC 8265, Intel Wi-Fi 6 AX201, and Intel Wi-Fi 6E AX210.",True
Notebooks,WLAN controller model.27443.unit,WLAN controller model_unit,,,,,The unit of measure for the WLAN controller model column.,True
Notebooks,Processor ARK ID.27646,Processor ARK ID,"'196603.0', '91157.0', '95443.0', '88193.0', '95598.0'",,65697.0,196603.0,The Processor ARK ID is the unique identifier for the processor of the notebook. The Processor ARK ID is a string that is a minimum of 1 characters and a maximum of 208664 characters in length.,True
Notebooks,Processor ARK ID.27646.unit,Processor ARK ID_unit,,,,,The unit of measure for the Processor ARK ID column.,True
Notebooks,Discrete graphics adapter.27905,Discrete graphics adapter,'False',,,,"True or False value that indicates the presence of a discrete graphics adapter in the notebook. A discrete graphics adapter is a separate graphics processing unit (GPU) that is typically used for high-end gaming and graphics performance. If the discrete graphics adapter is present, the value will be True, otherwise it will be False.",True
Notebooks,Discrete graphics adapter.27905.unit,Discrete graphics adapter_unit,,,,,The unit of measure for the Discrete graphics adapter column.,True
Notebooks,Video capturing speed.2791,Video capturing speed,'30.0',fps,30.0,30.0,"The video capturing speed of the laptop, measured in frames per second (fps).",True
Notebooks,Video capturing speed.2791.unit,Video capturing speed_unit,,,,,The unit of measure for the Video capturing speed column.,True
Notebooks,Memory clock speed.2900,Memory clock speed,"'3733.0', '2133.0', '2400.0', '1600.0', '3200.0'",MHz,1600.0,4266.0,Memory clock speed refers to the rate at which the memory of the notebook operates. The memory clock speed is measured in MHz and is typically 1600.0 MHz or higher. The minimum value is 4.0 MHz and the maximum value is 42661.0 MHz.,True
Notebooks,Memory clock speed.2900.unit,Memory clock speed_unit,,,,,The unit of measure for the Memory clock speed column.,True
Notebooks,USB Type-C DisplayPort Alternate Mode.31406,USB Type-C DisplayPort Alternate Mode,'False',,,,This column indicates whether the notebook product has a USB Type-C DisplayPort Alternate Mode port. The value is either True or False.,True
Notebooks,USB Type-C DisplayPort Alternate Mode.31406.unit,USB Type-C DisplayPort Alternate Mode_unit,,,,,The unit of measure for the USB Type-C DisplayPort Alternate Mode column.,True
Notebooks,Operating system installed.3233,Operating system installed,"'Windows 10 Pro', 'Windows 10 Home', 'Windows 10 Home S', 'FreeDOS', 'N'",,,,"The operating system installed on the notebook. Options include: 'Windows 10 Home', 'Windows 10 Pro', 'Windows 7 Professional', 'Windows 8.1', 'Windows 8'.",True
Notebooks,Operating system installed.3233.unit,Operating system installed_unit,,,,,The unit of measure for the Operating system installed column.,True
Notebooks,Total storage capacity.3318,Total storage capacity,"'256', '512', '128', '500', '1000'",GB,32.0,1000.0,"The total amount of storage space available on the notebook. This includes both the hard drive and any additional storage options, such as a CD/DVD drive or a USB drive. The value is given in gigabytes (GB).",True
Notebooks,Total storage capacity.3318.unit,Total storage capacity_unit,,,,,The unit of measure for the Total storage capacity column.,True
Notebooks,Card reader integrated.3374,Card reader integrated,'False',,,,"Indicates whether the notebook has an integrated card reader. If the notebook has an integrated card reader, the value will be True. If the notebook does not have an integrated card reader, the value will be False.",True
Notebooks,Card reader integrated.3374.unit,Card reader integrated_unit,,,,,The unit of measure for the Card reader integrated column.,True
Notebooks,Front camera HD type.34721,Front camera HD type,"'HD', 'Full HD'",,,,"Indicates whether the front camera on the laptop is HD or Full HD. Full HD is generally considered as having twice the resolution of HD, and therefore capturing finer details and displaying a more seamless visual experience.",True
Notebooks,Front camera HD type.34721.unit,Front camera HD type_unit,,,,,The unit of measure for the Front camera HD type column.,True
Notebooks,HDMI ports quantity.3566,HDMI ports quantity,'1.0',,1.0,1.0,The HDMI ports quantity column contains the number of HDMI ports that a notebook has. The minimum value is 1.0 and the maximum value is 11.0,True
Notebooks,HDMI ports quantity.3566.unit,HDMI ports quantity_unit,,,,,The unit of measure for the HDMI ports quantity column.,True
Notebooks,Keyboard backlit colour.36279,Keyboard backlit colour,'White',,,,"The keyboard backlit colour refers to the colour of the backlighting for the keyboard. The colour can be specified as a single colour, or a combination of colours. For example, both 'RGB' and 'Red and Blue' are valid inputs.",True
Notebooks,Keyboard backlit colour.36279.unit,Keyboard backlit colour_unit,,,,,The unit of measure for the Keyboard backlit colour column.,True
Notebooks,Total SSDs capacity.37918,Total SSDs capacity,"'512.0', '256.0', '128.0', '1000.0', '64.0'",GB,64.0,1000.0,The capacity of the solid state drive (SSD) in gigabytes (GB). Note that this is the total capacity of the SSD and not the usable capacity after the operating system and other software are installed.,True
Notebooks,Total SSDs capacity.37918.unit,Total SSDs capacity_unit,,,,,The unit of measure for the Total SSDs capacity column.,True
Notebooks,NVIDIA Max-Q.39377,NVIDIA Max-Q,,,,,"NVIDIA Max-Q is a technology that is used to reduce the heat generated by the graphics card. It does this by dynamically adjusting the clock speed of the graphics card, which reduces the power consumption and heat generation. This allows the graphics card to operate at a higher clock speed for longer periods of time, which results in better performance. The technology is used in various graphics cards, including the GeForce RTX 3080 and the GeForce RTX 3090.",True
Notebooks,NVIDIA Max-Q.39377.unit,NVIDIA Max-Q_unit,,,,,The unit of measure for the NVIDIA Max-Q column.,True
Notebooks,WLAN controller manufacturer.42190,WLAN controller manufacturer,'Intel',,,,"The WLAN controller manufacturer is the company that produces the wireless local area network controller for a notebook. This controller allows the notebook to connect to a wireless network. The format of this column is a string, and the length must be between 1 and 100 characters.",True
Notebooks,WLAN controller manufacturer.42190.unit,WLAN controller manufacturer_unit,,,,,The unit of measure for the WLAN controller manufacturer column.,True
Notebooks,USB4 Gen 2x2 ports quantity.42558,USB4 Gen 2x2 ports quantity,'1.0',,1.0,1.0,The quantity of USB4 Gen 2x2 ports on the notebook.,True
Notebooks,USB4 Gen 2x2 ports quantity.42558.unit,USB4 Gen 2x2 ports quantity_unit,,,,,The unit of measure for the USB4 Gen 2x2 ports quantity column.,True
Notebooks,Internal memory type.427,Internal memory type,"'LPDDR4x-SDRAM', 'DDR4-SDRAM', 'DDR3L-SDRAM', 'LPDDR4-SDRAM', 'DDR3-SDRAM'",,,,"The type of internal memory in the notebook. Examples include DDR4-SDRAM, DDR3L-SDRAM, DDR3-SDRAM, LPDDR3-SDRAM, and LPDDR4x-SDRAM.",True
Notebooks,Internal memory type.427.unit,Internal memory type_unit,,,,,The unit of measure for the Internal memory type column.,True
Notebooks,Wi-Fi standards.432,Wi-Fi standards,"'Wi-Fi 6 (802.11ax)', '802.11a', 'Wi-Fi 5 (802.11ac)', '802.11b', 'Wi-Fi 4 (802.11n)'",,,,"Wi-Fi standards that the laptop conforms to. Examples include ""Wi-Fi 6 (802.11ax)"", ""802.11a"", etc.",True
Notebooks,Wi-Fi standards.432.unit,Wi-Fi standards_unit,,,,,The unit of measure for the Wi-Fi standards column.,True
Notebooks,Battery technology.434,Battery technology,"'Lithium-Ion (Li-Ion)', 'Lithium Polymer (LiPo)'",,,,The type of battery technology used in the notebook. Options include 'Lithium-Ion (Li-Ion)' and 'Lithium Polymer (LiPo)'.,True
Notebooks,Battery technology.434.unit,Battery technology_unit,,,,,The unit of measure for the Battery technology column.,True
Notebooks,Pointing device.440,Pointing device,"'Touchpad', 'Trackpad', 'Clickpad', 'ThinkPad UltraNav'",,,,"A pointing device is a hardware component that allows users to interact with their notebooks in a more intuitive way. It can be a touchpad, trackpad, or clickpad, and some high-end models even have special features like gestures. This column will contain the name of the pointing device installed on each notebook.",True
Notebooks,Pointing device.440.unit,Pointing device_unit,,,,,The unit of measure for the Pointing device column.,True
Notebooks,Processor model.47,Processor model,"'i5-1035G1', 'i7-1185G7', 'i5-1145G7', '4980U', 'i3-6006U'",,,,"A string representing the model of the processor in the notebook, such as 'i5-1035G1' or 'i7-1185G7'. This column will contain values that are unique and can be used to identify different processor models.",True
Notebooks,Processor model.47.unit,Processor model_unit,,,,,The unit of measure for the Processor model column.,True
Notebooks,Touchscreen.4963,Touchscreen,'False',,,,"Indicates whether the notebook has a touchscreen. A value of 'True' means the notebook has a touchscreen, while a value of 'False' means the notebook does not have a touchscreen.",True
Notebooks,Touchscreen.4963.unit,Touchscreen_unit,,,,,The unit of measure for the Touchscreen column.,True
Notebooks,SSD interface.5584,SSD interface,"'NVMe', 'SATA III', 'M.2'",,,,"The interface of the solid state drive (SSD). NVMe offers higher performance and more efficient data handling, while SATA is an older, slower standard.",True
Notebooks,SSD interface.5584.unit,SSD interface_unit,,,,,The unit of measure for the SSD interface column.,True
Notebooks,SSD capacity.5586,SSD capacity,"'256.0', '512.0', '128.0', '1000.0', '64.0'",GB,64.0,1000.0,"The SSD capacity column contains the size of the solid state drive (SSD) in gigabytes (GB). The minimum value is 1.0 GB, and the maximum value is 5120.0 GB.",True
Notebooks,SSD capacity.5586.unit,SSD capacity_unit,,,,,The unit of measure for the SSD capacity column.,True
Notebooks,Processor cores.6089,Processor cores,"'4.0', '2.0', '8.0', '6.0', '5.0'",,2.0,8.0,"The number of processor cores in the notebook. This can be an integer value or a range of integer values separated by commas. Examples of values include 2, 4, 8, 6, and 1.",True
Notebooks,Processor cores.6089.unit,Processor cores_unit,,,,,The unit of measure for the Processor cores column.,True
Notebooks,CUDA.6583,CUDA,,,,,CUDA is a parallel computing platform and programming model invented by NVIDIA for general-purpose computations on graphical processing units. CUDA is a GPGPU computing platform and programming model invented by NVIDIA for solving general-purpose computational problems in a way that makes use of the massive thread parallelism of modern GPU hardware. CUDA is currently supported on NVIDIA's line of Kepler and newer GPUs.,True
Notebooks,CUDA.6583.unit,CUDA_unit,,,,,The unit of measure for the CUDA column.,True
Notebooks,Memory slots.672,Memory slots,"'1x SO-DIMM', '2x SO-DIMM'",,,,"Physical memory slots in the notebook for expansion. Example values are '1x SO-DIMM', and '2x SO-DIMM'.",True
Notebooks,Memory slots.672.unit,Memory slots_unit,,,,,The unit of measure for the Memory slots column.,True
Notebooks,Compatible memory cards.730,Compatible memory cards,"'MMC', 'MicroSD (TransFlash)'",,,,A string representing the various memory cards that are compatible with the notebook.,True
Notebooks,Compatible memory cards.730.unit,Compatible memory cards_unit,,,,,The unit of measure for the Compatible memory cards column.,True
Notebooks,Maximum refresh rate.7450,Maximum refresh rate,,,,,"The maximum number of times the screen can refresh, measured in hertz (Hz). This can also be expressed as the number of frames the screen can draw in a given second, and units may be interchangeably used depending on the context.",True
Notebooks,Maximum refresh rate.7450.unit,Maximum refresh rate_unit,,,,,The unit of measure for the Maximum refresh rate column.,True
Notebooks,Number of SSDs installed.7682,Number of SSDs installed,'1.0',,1.0,1.0,The physical number of solid state drives installed on the notebook.,True
Notebooks,Number of SSDs installed.7682.unit,Number of SSDs installed_unit,,,,,The unit of measure for the Number of SSDs installed column.,True
Notebooks,Memory form factor.7696,Memory form factor,"'On-board', 'On-board + SO-DIMM', 'SO-DIMM'",,,,"Physical implementation of main memory in a notebook. Options are On-board, On-board + SO-DIMM, and SO-DIMM.",True
Notebooks,Memory form factor.7696.unit,Memory form factor_unit,,,,,The unit of measure for the Memory form factor column.,True
