Certification,Mandate Number,Mandate title,Mandate Description
TCO,5.11.1,Luminance contrast - characters,"Luminance contrast – characters is the capacity of the display to maintain a high luminance
difference between a bright background and dark characters or parts of characters over the
whole active area. The luminance contrast must be >= 0.70 measured orthogonally to the screen."
TCO,5.12.1,Luminance contrast - angular dependence,"Luminance contrast – angular dependence, is the capability of the Notebook display to
maintain the same contrast regardless of the direction from which the screen is viewed. In landscape mode, the luminance contrast-angular dependence must be >= 0.80 at +- 15 degrees horizontally from the viewing direction (rotated around the vertical axis through the center of the screen)."
TCO,5.13.1,Keyboard gloss,"Gloss is a measure of how a light beam, physically described as luminous flux, is scattered at
the surface when incident against that surface. Gloss is a function of the directional
reflectance properties of a surface. The gloss of the keyboard (keys) must have a gloss value G(60) <= 30 gloss units."
TCO,6.3.1,Standardized connectors,The device must carry at least one USB Type-C connector that is backward compatible with USB 2.0. Products with no connectors are exempted from this criterion. 
TCO,6.4.1,Product durability,"The product must be tested with the modified storage / operational temperature interval and duration as well as the drop test height according to the table below. The results will be reported on the certificate.

Storage temperature min: <= -30  degrees celcius
Storage temperature max: >= 60 degrees celcius
Operating temperature min: <= 0 degrees celcius
Operating temperature max: >= 40 degrees celcius"
TCO,6.6.1,Battery replaceability,"The brand owner must guarantee that the main battery is replaceable by the end-user and/or technician. Instructions on how to replace the battery must be available for anyone to read, free of charge online throughout the whole lifetime of the certificate."
TCO,6.9.1,Standardized external power supply compatibility,"A. The product must carry a USB Type C standardized receptacle (port) for USB Power Delivery according to the standard EN/IEC 63002:2017 or newer - Identification and communication interoperability method for external power supplies used with portable computing devices. OR B. The product must have a built-in wireless charging capability that complies with Qi Wireless Power Transfer System, Power Class 0 Specification version 1.2.4, or future revisions."
Energy Star,3.2.2,Internal Power Supply (IPS) Requirements,"Internal Power Supply (IPS) Requirements: IPSs used in Computers eligible under this specification must meet the following requirements when tested using the Generalized Internal Power Supply Efficiency Test Protocol, Rev. 6.6"
Energy Star,3.2.3,External Power Supply (EPS) Requirements,"External Power Supply (EPS) Requirements: Single- and Multiple-voltage EPSs shall meet the Level VI or higher performance requirements under the International Efficiency Marking Protocol when tested according to the Uniform Test Method for Measuring the Energy Consumption of External Power Supplies, Appendix Z to 10 CFR Part 430. i. Single-voltage EPSs shall include the Level VI or higher marking. ii. Adaptive EPSs meeting Level VI or higher shall include the Level VI or higher marking."
Energy Star,3.2.4,Energy Efficient Ethernet (EEE) Requirements,Energy Efficient Ethernet (EEE) Requirements: All products which contain one or more Ethernet ports with a bandwidth of 1Gb/s or higher shall have EEE supported in each of these ports in their as-shipped configuration.
Energy Star,3.3.1,Power Management Requirements,"Products shall include power management features in their as-shipped condition as specified in Table 3, subject to the following conditions: i. For Thin Clients, the Wake-on-LAN (WOL) requirement shall apply for products designed to receive software updates from a centrally managed network while in Sleep Mode or in Off Mode. Thin Clients whose standard software upgrade framework does not require off-hours scheduling are exempt from the WOL requirement. ii. For Notebooks, WOL may be automatically disabled when the product is disconnected from ac mains power. iii. For all products with WOL, directed packet filters shall be enabled and set to an industry standard default configuration. iv. Products that do not support Sleep Mode by default are only subject to the Display Sleep Mode requirement."
Energy Star,3.3.1.1,System Sleep/Alternative Low Power Mode,(1) Sleep/Alternative Low Power Mode shall be set to activate after no more than 30 minutes of user inactivity. (2) The speed of any active 1 Gb/s or faster Ethernet network links shall be reduced when transitioning to Sleep Mode or Off Mode. Or the links shall enter Energy Efficient Ethernet state when transitioning to Alternative Low Power Mode
Energy Star,3.3.1.2,Display Sleep Mode,(1) Display Sleep Mode shall be set to activate after no more than 15 minutes of user inactivity.
Energy Star,3.3.1.3,Wake on LAN (WOL),"(1) Computers with Ethernet capability shall provide users with an option to enable and disable WOL for Sleep Mode. (2) Computers with Ethernet capability that are shipped through enterprise channels shall either: (a) be shipped with WOL enabled by default for Sleep Mode, when the computer is operating on ac mains power; or (b) provide users with the ability to enable WOL that is accessible from both the client operating system user interface and over the networkii ."
Energy Star,3.3.1.4,Wake Management,"(1) Computers with Ethernet capability that are shipped through enterprise channels shall: (a) be capable of both remote (via network) and scheduled (via realtime clock) wake events from Sleep Mode, and (b) provide clients with the ability to centrally manage (via vendor tools) any wake management settings that are configured through hardware settings if the manufacturer has control over such features."
Energy Star,3.5.1,Resume Time Requirement,"Resume Time Requirement: Notebook computers are required to wake from sleep or an alternative low power mode with a latency of less than or equal to 5 seconds from initiation of wake event to system becoming fully usable including rendering of display. Desktop and Integrated Desktop Computers shall meet this same requirement, but with a latency of less than or equal to 10 seconds. Manufacturers shall self-declare that the product can meet this requirement."
